time,favorites,link,rts
2016-12-26 02:15:30+00:00,289,arxiv.org/abs/1612.07828,135
2016-12-19 01:43:40+00:00,51,arxiv.org/abs/1612.05386,16
2016-12-07 01:33:30+00:00,6,arxiv.org/abs/1612.01669,1
2016-11-17 01:38:33+00:00,19,arxiv.org/abs/1611.05358,4
2017-02-11 11:35:52+00:00,69,arxiv.org/abs/1701.08734,22
2017-01-31 01:26:07+00:00,62,arxiv.org/abs/1701.08734,25
2017-01-09 07:24:14+00:00,63,arxiv.org/abs/1701.01724,30
2016-11-02 08:46:44+00:00,13,arxiv.org/abs/1611.00035,7
2016-11-02 08:48:54+00:00,30,arxiv.org/abs/1610.09615,5
2016-10-28 01:07:05+00:00,74,arxiv.org/abs/1610.08613,26
2016-10-19 00:31:14+00:00,26,arxiv.org/abs/1610.05555,2
2016-10-04 00:39:09+00:00,28,arxiv.org/abs/1610.00633,14
2016-02-16 05:10:57+00:00,15,arxiv.org/abs/1602.04621,3
2016-08-02 00:58:06+00:00,1,arxiv.org/abs/1608.00249,1
2016-05-25 06:41:09+00:00,3,arxiv.org/abs/1605.07524,6
2016-04-26 01:47:27+00:00,15,arxiv.org/abs/1604.07255,7
2016-06-13 00:23:39+00:00,11,arxiv.org/abs/1606.03137,3
2016-11-28 02:45:53+00:00,35,arxiv.org/abs/1611.08481,22
2016-05-30 01:05:24+00:00,14,arxiv.org/abs/1605.08535,5
2016-11-04 01:57:03+00:00,154,arxiv.org/abs/1611.00847,40
2016-09-27 00:43:22+00:00,21,arxiv.org/abs/1609.07843,7
2016-06-17 01:35:59+00:00,66,arxiv.org/abs/1606.05328,32
2016-05-02 00:47:23+00:00,48,arxiv.org/abs/1604.08772,24
2016-10-13 00:30:10+00:00,51,arxiv.org/abs/1610.03518,22
2016-03-17 02:11:42+00:00,36,arxiv.org/abs/1603.05106,15
2016-01-08 23:11:03+00:00,1,arxiv.org/abs/1512.05849,1
2016-11-08 02:22:18+00:00,37,arxiv.org/abs/1611.01874,12
2017-02-01 01:40:19+00:00,2,arxiv.org/abs/1701.03868,1
2017-02-21 02:04:50+00:00,143,arxiv.org/abs/1702.05663,62
2016-09-29 01:06:39+00:00,7,arxiv.org/abs/1609.09059,3
2017-03-01 02:28:58+00:00,2,arxiv.org/abs/1702.08441,0
2017-02-27 01:47:54+00:00,5,arxiv.org/abs/1702.07680,3
2017-02-21 02:33:13+00:00,4,arxiv.org/abs/1702.05815,0
2017-03-03 03:45:43+00:00,27,arxiv.org/abs/1703.00868,9
2017-03-03 03:44:58+00:00,3,arxiv.org/abs/1703.00607,5
2017-03-03 03:44:44+00:00,7,arxiv.org/abs/1703.00837,2
2017-03-03 03:43:58+00:00,9,arxiv.org/abs/1703.00864,3
2017-03-03 03:43:41+00:00,9,arxiv.org/abs/1703.00848,1
2017-03-03 03:42:44+00:00,2,arxiv.org/abs/1703.00767,2
2017-03-03 03:42:31+00:00,4,arxiv.org/abs/1703.00729,1
2017-03-03 03:42:09+00:00,11,arxiv.org/abs/1703.00727,6
2017-03-03 03:41:36+00:00,13,arxiv.org/abs/1703.00573,4
2017-03-03 03:40:30+00:00,16,arxiv.org/abs/1703.00522,0
2017-03-03 03:40:02+00:00,3,arxiv.org/abs/1703.00512,0
2017-03-03 03:39:25+00:00,0,arxiv.org/abs/1703.00482,0
2017-03-03 03:38:51+00:00,7,arxiv.org/abs/1703.00548,1
2017-03-03 02:19:46+00:00,19,arxiv.org/abs/1703.00556,2
2017-03-01 02:29:14+00:00,2,arxiv.org/abs/1702.08833,0
2017-03-02 16:26:21+00:00,0,arxiv.org/abs/1703.00443,103
2017-03-02 02:00:57+00:00,12,arxiv.org/abs/1703.00420,3
2017-03-02 02:00:40+00:00,1,arxiv.org/abs/1703.00380,0
2017-03-02 02:00:19+00:00,3,arxiv.org/abs/1703.00356,1
2017-03-02 02:00:04+00:00,6,arxiv.org/abs/1703.00247,0
2017-03-02 01:59:25+00:00,2,arxiv.org/abs/1703.00196,1
2017-03-02 01:59:11+00:00,3,arxiv.org/abs/1703.00152,4
2017-03-02 01:58:43+00:00,8,arxiv.org/abs/1703.00133,3
2017-03-02 01:58:30+00:00,4,arxiv.org/abs/1703.00132,2
2017-03-02 01:58:12+00:00,2,arxiv.org/abs/1703.00122,2
2017-03-02 01:57:57+00:00,2,arxiv.org/abs/1703.00121,1
2017-03-02 01:57:26+00:00,0,arxiv.org/abs/1703.00096,0
2017-03-02 01:57:13+00:00,2,arxiv.org/abs/1703.00095,1
2017-03-02 01:56:44+00:00,1,arxiv.org/abs/1703.00069,0
2017-03-02 01:56:31+00:00,0,arxiv.org/abs/1703.00060,0
2017-03-02 01:56:18+00:00,4,arxiv.org/abs/1703.00050,0
2017-03-02 01:56:05+00:00,2,arxiv.org/abs/1703.00410,1
2017-03-02 01:55:55+00:00,0,arxiv.org/abs/1703.00048,0
2017-03-02 01:55:38+00:00,2,arxiv.org/abs/1703.00381,0
2017-03-02 01:55:10+00:00,11,arxiv.org/abs/1703.00441,1
2017-03-02 01:54:38+00:00,10,arxiv.org/abs/1703.00102,3
2017-03-02 01:54:23+00:00,4,arxiv.org/abs/1703.00168,0
2017-03-02 01:54:10+00:00,7,arxiv.org/abs/1703.00209,1
2017-03-02 01:53:36+00:00,4,arxiv.org/abs/1703.00395,0
2017-03-01 19:37:32+00:00,5,arxiv.org/abs/1702.08540,0
2017-03-01 19:37:18+00:00,0,arxiv.org/abs/1702.08536,0
2017-03-01 19:37:04+00:00,5,arxiv.org/abs/1702.08866,0
2017-03-01 19:36:40+00:00,9,arxiv.org/abs/1702.08798,3
2017-03-01 19:36:27+00:00,8,arxiv.org/abs/1702.08782,2
2017-03-01 19:35:53+00:00,2,arxiv.org/abs/1702.08690,0
2017-03-01 19:35:37+00:00,2,arxiv.org/abs/1702.08681,0
2017-03-01 19:35:20+00:00,7,arxiv.org/abs/1702.08675,0
2017-03-01 19:34:37+00:00,0,arxiv.org/abs/1702.08656,0
2017-03-01 19:34:14+00:00,2,arxiv.org/abs/1702.08652,3
2017-03-01 19:33:54+00:00,7,arxiv.org/abs/1702.08648,1
2017-03-01 19:33:10+00:00,2,arxiv.org/abs/1702.08597,0
2017-03-01 19:32:57+00:00,0,arxiv.org/abs/1702.08568,0
2017-03-01 19:32:19+00:00,6,arxiv.org/abs/1702.08558,0
2017-03-01 19:32:03+00:00,2,arxiv.org/abs/1702.08513,0
2017-03-01 19:31:30+00:00,3,arxiv.org/abs/1702.08484,0
2017-03-01 19:31:14+00:00,2,arxiv.org/abs/1702.08712,2
2017-03-01 19:31:01+00:00,12,arxiv.org/abs/1702.08835,3
2017-03-01 19:30:26+00:00,4,arxiv.org/abs/1702.08580,0
2017-03-01 19:30:12+00:00,2,arxiv.org/abs/1702.08628,0
2017-03-01 18:07:29+00:00,0,arxiv.org/abs/1611.02796,25
2017-03-01 16:30:56+00:00,11,arxiv.org/abs/1702.08727,6
2017-03-01 02:34:19+00:00,8,arxiv.org/abs/1702.08658,1
